Market,audience,Campaign,Clicks,Cost,Impressions,fees
CH,Adults,Facebook,154,229.54,10006,254.6794
CH,Retention,YouTube,1,1,165,1
AUS,Oldies,Google,4611,341.84,7790,379.3324
AUS,Children,Email,6531,569.2,8888,631.702
AUS,Adults,Google,12852,1179.05,16106,1308.6355
AUS,Retention,Instagram,2693,263.03,3231,291.8533
AUS,Oldies,Google,1282,324.26,3926,359.8186
AUS,Children,Email,3472,1297.33,10297,1439.9263
AUS,Adults,Facebook,2195,669.05,5830,742.5355
AUS,Retention,YouTube,217,71.44,630,79.1884
AUS,Oldies,Google,322,174.3,10552,193.363
AUS,Children,Email,3144,1700.85,48731,1887.8335
AUS,Adults,YouTube,954,737.02,16121,817.9822
AUS,Retention,Google,211,222.59,2553,246.9649
AUS,Oldies,YouTube,11369,3743.56,1523178,4155.2416
AUS,Children,Instagram,434,31.62,4546,34.9882
AUS,Adults,Email,527,50.61,25525,56.0671
AUS,Retention,Google,2,1.22,17,1.2442
AUS,Oldies,Facebook,4374,2307.07,461259,2560.7377
AUS,Children,YouTube,423,338.59,25463,375.7249
AUS,Adults,Facebook,3237,2333.97,245039,2590.5967
AUS,Retention,YouTube,258,197.36,23521,218.9596
AUS,Oldies,Instagram,880,179.54,85145,199.1794
AUS,Adults,Email,389,82.86,27708,91.8646
AUS,Retention,Google,17,5.85,1624,6.3835
RSA,Oldies,Facebook,226,6.88,358,7.5268
RSA,Children,YouTube,111,5.7,145,6.217
RSA,Adults,Google,2,1.06,2,1.0666
RSA,Retention,Facebook,20,1.59,25,1.6549
RSA,Oldies,YouTube,61,8.45,176,9.2695
RSA,Children,Google,20,3.66,72,3.9526
