country,user,ordernum,orderstatus,date_ordered,channel
UK,1a0bd,fc74a,cancelled,"2019-05-07 00:00:00",social
UK,1a0bd,b4618,cancelled,"2019-05-07 00:00:00",social
UK,1a0bd,8939e,cancelled,"2019-05-07 00:00:00",social
UK,1a0bd,8676b,finished,"2019-05-07 00:00:00",social
UK,1a073,deef5,finished,"2019-05-01 00:00:00",google
UK,1ae01,d84a8,cancelled,"2019-02-05 00:00:00",google
UK,2e038,c8ee0,finished,"2019-04-28 00:00:00",google
UK,390ed,8a6af,finished,"2019-03-01 00:00:00",direct
UK,39eee,1af5d,cancelled,"2019-04-19 00:00:00",social
UK,39eee,c6314,cancelled,"2019-04-19 00:00:00",social
UK,39eee,aa5d0,finished,"2019-04-19 00:00:00",social
UK,39eee,4010a,finished,"2019-04-21 00:00:00",social
UK,39eee,c8d6f,cancelled,"2019-04-26 00:00:00",social
UK,39eee,b26c9,finished,"2019-04-26 00:00:00",social
UK,39eee,8925d,finished,"2019-04-27 00:00:00",direct
UK,39eee,39c9b,cancelled,"2019-05-06 00:00:00",social
UK,39eee,f51b4,finished,"2019-05-06 00:00:00",google
UK,39eee,8986c,cancelled,"2019-05-08 00:00:00",social
UK,39eee,9d399,cancelled,"2019-05-08 00:00:00",social
UK,39eee,d6fbb,finished,"2019-05-08 00:00:00",social
UK,39eee,6092d,finished,"2019-05-14 00:00:00",social
UK,58da7,143ff,finished,"2019-02-23 00:00:00",others
UK,58da7,48cfa,cancelled,"2019-04-19 00:00:00",direct
UK,5f9a0,f1195,finished,"2019-02-01 00:00:00",direct
UK,6a627,82fbf,finished,"2019-02-04 00:00:00",direct
USA,6dbfb,59638,cancelled,"2019-04-23 00:00:00",social
UK,b23e6,2a0db,finished,"2019-02-14 00:00:00",google
UK,bf7ca,581e4,finished,"2019-03-29 00:00:00",direct
UK,f5b2b,9d4d3,finished,"2019-02-22 00:00:00",direct
UK,07e0d,01ff8,cancelled,"2019-01-09 00:00:00",direct
UK,103cd,f4613,finished,"2019-04-11 00:00:00",others
UK,1cbd0,1c6e6,finished,"2019-02-01 00:00:00",direct
UK,1cbd0,3b033,finished,"2019-04-10 00:00:00",social
UK,4ac0d,015c5,finished,"2019-04-22 00:00:00",others
UK,98914,6f85f,finished,"2019-01-25 00:00:00",direct
UK,98914,969d0,finished,"2019-01-27 00:00:00",direct
UK,ae1b9,3afe1,finished,"2019-02-12 00:00:00",direct
UK,b9bc9,c9639,finished,"2019-04-27 00:00:00",google
UK,c6a49,c562a,finished,"2019-04-29 00:00:00",direct
UK,d5fc7,d7ffb,finished,"2019-03-03 00:00:00",google
UK,d84a3,1b009,finished,"2019-02-20 00:00:00",direct
UK,d8b0a,692f4,finished,"2019-04-24 00:00:00",social
UK,fa84e,b7ab6,finished,"2019-04-20 00:00:00",social
UK,03a65,1b370,finished,"2019-01-07 00:00:00",direct
UK,03a65,d3405,finished,"2019-01-09 00:00:00",direct
UK,0f7c3,4ef9e,finished,"2019-05-13 00:00:00",social
USA,1cf06,1b053,finished,"2019-05-01 00:00:00",direct
UK,216f1,100ec,finished,"2019-04-13 00:00:00",social
UK,264f0,f9e07,finished,"2019-03-03 00:00:00",direct
UK,41686,3155e,cancelled,"2019-04-27 00:00:00",others
UK,4af8f,2a7a0,finished,"2019-03-25 00:00:00",direct
UK,5f0a9,fba35,finished,"2018-12-07 00:00:00",direct
UK,620fa,17e75,finished,"2019-03-31 00:00:00",social
UK,6a93a,13ec8,finished,"2019-01-22 00:00:00",direct
UK,6f889,468e2,finished,"2019-05-06 00:00:00",google
UK,6f889,e9b02,finished,"2019-05-15 00:00:00",social
UK,8ba15,d3023,finished,"2018-12-05 00:00:00",direct
UK,aedb1,52483,finished,"2019-03-22 00:00:00",social
UK,baafa,c2739,finished,"2019-02-04 00:00:00",google
UK,d4e27,54fde,finished,"2019-02-25 00:00:00",others
UK,df508,e8742,finished,"2019-05-14 00:00:00",others
UK,e1d07,353e1,finished,"2019-03-01 00:00:00",google
UK,e1d07,4ed3b,finished,"2019-05-03 00:00:00",social
UK,18f49,4918f,finished,"2019-03-05 00:00:00",others
UK,260f2,f6dbb,cancelled,"2019-01-18 00:00:00",direct
UK,260f2,4ba34,finished,"2019-01-20 00:00:00",google
UK,260f2,da5a0,finished,"2019-02-11 00:00:00",google
UK,2f455,4931d,finished,"2019-05-10 00:00:00",direct
UK,3adb1,79750,finished,"2019-04-28 00:00:00",google
UK,3b337,12bff,cancelled,"2019-01-12 00:00:00",direct
UK,41d62,9ee48,finished,"2019-05-03 00:00:00",social
UK,5e004,01e54,finished,"2019-02-05 00:00:00",direct
UK,5e004,8326b,finished,"2019-03-18 00:00:00",direct
UK,6fcb5,9f8c4,finished,"2019-05-02 00:00:00",google
UK,6fcb5,3e35f,finished,"2019-05-03 00:00:00",google
UK,7973b,d7e77,finished,"2019-02-25 00:00:00",others
